+----------+----------------------------------------------------------------------------------------------------------------------------------------------------------+------+
|    id    |                                                                          title                                                                           | year |
| 1433811  | Disconnect                                                                                                                                               | 2012 |
| 1433817  | Canned Dreams                                                                                                                                            | 2012 |
| 1433822  | The Apparition                                                                                                                                           | 2012 |
| 1435990  | Cinderella 3D                                                                                                                                            | 2012 |
| 1438173  | Bait                                                                                                                                                     | 2012 |
| 1440118  | I Am Nasrine                                                                                                                                             | 2012 |
| 1440129  | Battleship                                                                                                                                               | 2012 |
| 1440732  | Bel Ami                                                                                                                                                  | 2012 |
| 1441083  | The Zigzag Kid                                                                                                                                           | 2012 |
| 1441940  | Broken                                                                                                                                                   | 2012 |
